Name	Birth Year	Gender	Count
Isabella	2015	M	465
Charlotte	2010	F	957
Ava	2013	F	890
Emma	2013	M	887
Olivia	2017	M	118
Isabella	2019	F	446
Isabella	2013	M	596
Emma	2015	F	674
Charlotte	2012	F	873
Liam	2014	F	929
Liam	2017	F	229
Emma	2016	M	508
Noah	2018	M	764
Charlotte	2018	M	122
Charlotte	2011	F	327
Ava	2016	M	470
Ava	2017	F	288
Emma	2017	F	526
Amelia	2018	F	840
Noah	2011	M	697
Mia	2015	F	153
Noah	2019	M	592
Olivia	2018	M	42
Liam	2019	F	275
Liam	2014	M	553
Olivia	2013	F	439
Liam	2010	F	208
Ava	2013	M	780
Olivia	2015	M	167
Isabella	2010	F	112
Isabella	2012	M	350
Isabella	2013	F	130
Olivia	2018	M	736
Isabella	2011	F	887
Mia	2013	M	813
Mia	2013	F	217
Sophia	2013	M	382
Liam	2017	F	25
Sophia	2010	M	68
Mia	2011	M	979
Olivia	2019	M	772
Noah	2019	F	235
Liam	2010	M	717
Amelia	2014	F	999
Isabella	2017	M	292
Amelia	2013	F	727
Amelia	2012	M	702
Olivia	2017	M	710
Emma	2012	M	728
Amelia	2010	M	556
Liam	2010	M	33
Amelia	2014	F	12
Emma	2015	M	617
Sophia	2015	M	213
Emma	2016	F	139
Ava	2018	M	695
Charlotte	2014	M	422
Ava	2011	M	638
Noah	2014	F	669
Noah	2019	M	624
Charlotte	2018	M	489
Charlotte	2011	F	771
Mia	2011	M	540
Emma	2017	F	980
Noah	2019	M	218
Charlotte	2019	M	664
Mia	2013	F	822
Mia	2016	F	308
Liam	2017	M	175
Charlotte	2012	M	149
Ava	2010	M	950
Mia	2013	F	542
Emma	2015	F	580
Ava	2019	M	548
Amelia	2014	M	808
Emma	2014	M	394
Sophia	2016	M	74
Ava	2014	M	298
Olivia	2014	F	920
Ava	2013	M	900
Sophia	2014	F	815
Noah	2014	M	731
Noah	2018	M	947
Mia	2014	M	877
Charlotte	2013	F	772
Isabella	2017	F	800
Emma	2015	F	778
Charlotte	2015	M	395
Isabella	2010	M	540
Ava	2011	F	430
Mia	2015	F	200
Ava	2019	F	424
Liam	2013	F	62
Noah	2010	M	342
Noah	2015	M	866
Amelia	2010	M	45
Olivia	2011	F	803
Isabella	2012	F	931
Olivia	2014	M	89
Noah	2012	F	34
